"Genera","Abundance"
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Simonsiella",0
"Treponema",0
"Treponema",0
"Treponema",0
"Treponema",0
"Treponema",0.015213176
"Treponema",0.095982653
"Treponema",0
"Treponema",0.059431658
"Treponema",0
"Treponema",0.110355161
"Treponema",0.047619048
"Treponema",0
"Treponema",0
"Treponema",0
"Treponema",0
"Treponema",0
"Treponema",0
"Campylobacter",0
"Campylobacter",0
"Campylobacter",0.013617811
"Campylobacter",0
"Campylobacter",0.020081775
"Campylobacter",0.010038383
"Campylobacter",0.027851276
"Campylobacter",0.014381454
"Campylobacter",0
"Campylobacter",0.023285951
"Campylobacter",0
"Campylobacter",0.017048526
"Campylobacter",0.03699498
"Campylobacter",0.010923535
"Campylobacter",0.091138081
"Campylobacter",0
"Campylobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Helicobacter",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Paracoccus",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Comamonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Pseudomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Xanthomonas",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Agrobacterium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Bradyrhizobium",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Acinetobacter",0
"Neisseria",0
"Neisseria",0
"Neisseria",0.094628481
"Neisseria",0
"Neisseria",0.187412725
"Neisseria",0
"Neisseria",0
"Neisseria",0
"Neisseria",0
"Neisseria",0.012149192
"Neisseria",0
"Neisseria",0
"Neisseria",0
"Neisseria",0.055610725
"Neisseria",0
"Neisseria",0.010335692
"Neisseria",0.251807027
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Psychrobacter",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0.095238095
"Eikenella",0
"Eikenella",0
"Eikenella",0
"Eikenella",0.01534234
"Eikenella",0
"Eikenella",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Citrobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Enterobacter",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Escherichia",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Klebsiella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Shigella",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Actinobacillus",0
"Haemophilus",0
"Haemophilus",0
"Haemophilus",0.017780498
"Haemophilus",0
"Haemophilus",0.067954131
"Haemophilus",0.077898008
"Haemophilus",0
"Haemophilus",0.036926637
"Haemophilus",0
"Haemophilus",0
"Haemophilus",0
"Haemophilus",0
"Haemophilus",0
"Haemophilus",0.024826216
"Haemophilus",0
"Haemophilus",0.146498736
"Haemophilus",0.046779168
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Pasteurella",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
"Bacteroides",0
