,Genera,W,p.value,p.adjusted
V,Simonsiella,0,0.009151689,1
V1,Treponema,75,0.962243757,1
V2,Campylobacter,98,0.320174067,1
V3,Helicobacter,0,0.000321048,0.055220325
V4,Paracoccus,0,0.000321048,0.055220325
V5,Comamonas,0,0.000482403,0.082973305
V6,Pseudomonas,0,0.000321048,0.055220325
V7,Xanthomonas,0,0.000321048,0.055220325
V8,Agrobacterium,0,0.000321048,0.055220325
V9,Bradyrhizobium,0,0.000321048,0.055220325
V10,Acinetobacter,0,0.000321048,0.055220325
V11,Neisseria,70,0.776388432,1
V12,Psychrobacter,0,0.001097051,0.188692701
V13,Eikenella,19,0.414823067,1
V14,Citrobacter,0,0.000321048,0.055220325
V15,Enterobacter,0,0.000321048,0.055220325
V16,Escherichia,0,0.000321048,0.055220325
V17,Klebsiella,0,0.000321048,0.055220325
V18,Shigella,0,0.000321048,0.055220325
V19,Actinobacillus,0,0.000320427,0.055113453
V20,Haemophilus,98,0.320174067,1
V21,Pasteurella,0,0.000321048,0.055220325
V22,Bacteroides,0,0.000321048,0.055220325
V23,Butyrivibrio,0,0.000726514,0.124960387
V24,Porphyromonas,75,0.962243757,1
V25,Prevotella,153,0.000321048,0.055220325
V26,Roseburia,0,0.036031686,1
V27,Fusobacterium,130,0.012110102,1
V28,Desulfovibrio,0,0.000321048,0.055220325
V29,Acidaminococcus,0,0.181449208,1
V30,Megasphaera,29,0.083223081,1
V31,Selenomonas,62,0.507501253,1
V32,Capnocytophaga,108,0.142245169,1
V33,Afipia,0,0.000482403,0.082973305
V34,Peptostreptococcus,39,0.414446223,1
V35,Ruminococcus,0,0.000726514,0.124960387
V36,Staphylococcus,0,0.000321048,0.055220325
V37,Streptococcus,21,0.009225146,1
V38,Enterococcus,0,0.000321048,0.055220325
V39,Gemella,54,0.754752501,1
V40,Atopobium,103,0.218401126,1
V41,Clostridium,0,0.000321048,0.055220325
V42,Lactobacillus,16,0.004507305,0.775256384
V43,Actinomyces,134,0.006970045,1
V44,Bifidobacterium,0,0.000321048,0.055220325
V45,Brevibacterium,0,0.003857293,0.663454367
V46,Corynebacterium,0,0.000321048,0.055220325
V47,Eubacterium,0,0.000726514,0.124960387
V48,Propionibacterium,17,0.005223004,0.898356661
V49,Mycobacterium,0,0.000321048,0.055220325
V50,Mobiluncus,0,0.003857293,0.663454367
V51,Gordonia,0,0.001097051,0.188692701
V52,Mycoplasma,17,0.005223004,0.898356661
V53,Thermosipho,0,0.022494271,1
V54,Gardnerella,0,0.000726514,0.124960387
V55,Cardiobacterium,0,0.022494271,1
V56,Sinorhizobium,0,0.000321048,0.055220325
V57,Rikenella,0,0.009151689,1
V58,Veillonella,111,0.107508009,1
V59,Helcococcus,0,0.059058229,1
V60,Leptotrichia,82,0.812896879,1
V61,Rothia,124,0.026088555,1
V62,Kingella,0,0.022494271,1
V63,Phascolarctobacterium,0,NA,NA
V64,Coprococcus,0,0.059058229,1
V65,Streptobacillus,0,0.002526174,0.434501974
V66,Acetivibrio,0,0.000320427,0.055113453
V67,Bilophila,0,0.000320427,0.055113453
V68,Dietzia,0,0.001661694,0.285811447
V69,Dialister,50,0.410116992,1
V70,Sutterella,0,0.000321048,0.055220325
V71,Brevundimonas,0,0.000321048,0.055220325
V72,Johnsonella,0,0.005921537,1
V73,Catonella,23,0.224015384,1
V74,Polynucleobacter,0,0.181449208,1
V75,Filifactor,0,0.014266187,1
V76,Abiotrophia,0,0.036031686,1
V77,Lautropia,0,0.036031686,1
V78,Mitsuokella,0,0.003857293,0.663454367
V79,Chryseobacterium,0,0.000321048,0.055220325
V80,Empedobacter,0,0.000724715,0.124650932
V81,Bergeyella,0,0.001097051,0.188692701
