name	TCGA-CV-5977-11A	TCGA-CV-6003-11A	TCGA-CV-6951-11A	TCGA-CV-6961-11A	TCGA-CV-6939-11A	TCGA-CV-6952-11A	TCGA-CV-5443-11A	TCGA-CV-5971-11A	TCGA-CV-6933-11A	TCGA-CV-5439-11B	TCGA-CV-6433-11A	TCGA-CV-5976-11A	TCGA-CV-5431-11A	TCGA-CV-6954-11A	TCGA-CV-5973-11A	TCGA-CV-5970-11A	TCGA-CV-6959-11A
Simonsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treponema	0.0594316580484202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0476190476190476	0.0	0.0	0.1103551613817681	0.0	0.0	0.095982653106905	0.0	0.0152131758960604
Campylobacter	0.0143814535601872	0.0136178108187387	0.0	0.0	0.0109235352532274	0.0911380810625143	0.0278512764448617	0.0	0.0	0.0170485258825595	0.0	0.0232859514842263	0.0	0.0369949799958755	0.0100383833049167	0.0	0.0200817749601846
Helicobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paracoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xanthomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bradyrhizobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
