name,TCGA-CV-5977-11A,TCGA-CV-6003-11A,TCGA-CV-6951-11A,TCGA-CV-6961-11A,TCGA-CV-6939-11A,TCGA-CV-6952-11A,TCGA-CV-5443-11A,TCGA-CV-5971-11A,TCGA-CV-6933-11A,TCGA-CV-5439-11B,TCGA-CV-6433-11A,TCGA-CV-5976-11A,TCGA-CV-5431-11A,TCGA-CV-6954-11A,TCGA-CV-5973-11A,TCGA-CV-5970-11A,TCGA-CV-6959-11A
Bacteroidetes,0.269838083,0.299728729,0.604391787,0.827674179,0.369425764,0.516184473,0.619648501,0.092849439,0.484903747,0.221137537,0.437038456,0.359029122,0.036537535,0.273469566,0.311718056,0.20612225,0.248125539
Proteobacteria,0.056774306,0.12616396,0,0,0.07739152,0.201753677,0.032886763,0.209101946,0.046490214,0.018406105,0.08390705,0.061555447,0.046152434,0.038073086,0.135303425,0.35383497,0.273367327
Firmicutes,0.359924914,0.339171309,0.202135528,0.04997016,0.305366286,0.147232863,0.138588303,0.498828878,0.241017247,0.432794963,0.310206491,0.352130224,0.868421795,0.311513866,0.276841529,0.348573704,0.283679835
Fusobacteria,0.081532321,0.100691321,0.15434256,0.109459251,0.087187915,0.111748251,0.14605391,0.037712976,0.024866859,0,0.060820907,0.011661243,0,0.18668802,0.053434333,0.056385653,0.091814378
Verrucomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0.171342534,0.134220733,0.036451936,0,0.153693113,0.015734735,0.010922241,0.161233808,0.152988216,0.327659473,0.107050958,0.109701008,0.047671141,0.17973784,0.132332755,0.025997341,0.088468581
Spirochaetes,0.058579763,0,0,0,0,0,0,0,0.049733718,0,0,0.105922955,0,0,0.088837936,0,0.014524462
Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenericutes,0,0,0,0,0,0,0.049133825,0,0,0,0,0,0,0,0,0,0
